source_tree,target_tree,source_rank,target_rank,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
dogwood,chestnut,20,30,809,chestnut,15489,0.0010528564453125,0.00031280517578125,0.00074005126953125,3.3658536585365852
dogwood,hemlock,20,31,809,hemlock,17728,0.00013828277587890625,0.00012302398681640625,1.52587890625e-05,1.124031007751938
dogwood,larch,20,32,809,larch,326,0.004730224609375,0.0002288818359375,0.0045013427734375,20.666666666666668
walnut,oak,21,1,974,oak,38971,0.047607421875,0.236328125,-0.188720703125,0.20144628099173553
walnut,maple,21,2,974,maple,55480,0.00933837890625,0.0194091796875,-0.01007080078125,0.4811320754716981
walnut,pine,21,3,974,pine,34697,0.00775146484375,0.0361328125,-0.02838134765625,0.21452702702702703
walnut,willow,21,4,974,willow,690,0.00469970703125,0.007598876953125,-0.002899169921875,0.6184738955823293
walnut,birch,21,5,974,birch,15606,0.00567626953125,0.001922607421875,0.003753662109375,2.9523809523809526
walnut,cedar,21,6,974,cedar,76396,0.01275634765625,0.0194091796875,-0.00665283203125,0.6572327044025157
walnut,cherry,21,7,974,cherry,41980,0.01275634765625,0.0091552734375,0.00360107421875,1.3933333333333333
walnut,sequoia,21,8,974,sequoia,11506,0.01202392578125,0.01104736328125,0.0009765625,1.0883977900552486
